Année de production;Production de biométhane annuel (MWh/an);Commune;Code INSEE EPCI;Région;Département;Coordonnées du site;Production de biométhane annuel (kWh/an);Production de biométhane annuel (GWh/an);Capacité théorique de production (GWh/an);Code INSEE Région;Code INSEE Commune;Type de site;Code INSEE Département;Date de mise en service;Code Technique du Site;EPCI;Reseau;Type de Réseau;Nom du site officiel
2021;6707.73;Saint-Laurent-Médoc;200069995;Nouvelle-Aquitaine;Gironde;45.140433428, -0.862378225;;6.707730000000001;26.814;75;33424;Agricole autonome;33;2021-08-19;;CC Médoc Cœur de Presqu'île;Régaz;Distribution;Médoc Biogaz 2
2020;6800.694;Pleudihen-sur-Rance;200068989;Bretagne;Côtes-d'Armor;48.509515077, -1.94126291;;6.800693999999999;5.3628;53;22197;Agricole autonome;22;2019-01-16;;CA Dinan Agglomération;Pleudihen Distribution gaz;Distribution;Gaec du Tertre Goutte
2021;23093.03;Marlenheim;200068864;Grand Est;Bas-Rhin;48.619066048, 7.505686274;;23.09303;25.0264;44;67282;Agricole autonome;67;2020-07-25;;CC de la Mossig et du Vignoble;R-GDS;Distribution;METHA'CO
2020;16632.139;Strasbourg;246700488;Grand Est;Bas-Rhin;48.571265, 7.767760376;;16.632139000000002;16.624679999999998;44;67482;Station d'épuration;67;2015-09-01;;Eurométropole de Strasbourg;R-GDS;Distribution;Biovalsan
2021;7034.4619999999995;Wahlenheim;200067874;Grand Est;Bas-Rhin;48.765310444, 7.687221619;;7.0344619999999995;8.937999999999999;44;67510;Agricole autonome;67;2019-07-08;;CA de Haguenau;R-GDS;Distribution;METHA 3
2020;3628.675;Oberschaeffolsheim;246700488;Grand Est;Bas-Rhin;48.591660957, 7.646681513;;3.628675;25.0264;44;67350;Agricole territorial;67;2020-05-04;;Eurométropole de Strasbourg;R-GDS;Distribution;Méthamusau
2017;13224.038999999999;Strasbourg;246700488;Grand Est;Bas-Rhin;48.571265, 7.767760376;;13.224039;16.624679999999998;44;67482;Station d'épuration;67;2015-09-01;;Eurométropole de Strasbourg;R-GDS;Distribution;Biovalsan
2019;19007.546000000002;Willgottheim;200034635;Grand Est;Bas-Rhin;48.673674108, 7.515639704;;19.007546;17.875999999999998;44;67532;Agricole territorial;67;2016-05-01;;CC du Kochersberg;R-GDS;Distribution;SAS Méthachrist
2021;510.892;Airvault;200041416;Nouvelle-Aquitaine;Deux-Sèvres;46.828329637, -0.153347126;;0.510892;15.1946;75;79005;Agricole autonome;79;2021-11-18;;CC Airvaudais-Val du Thouet;Séolis;Distribution;METHARCENCIEL
2019;17740.251;Strasbourg;246700488;Grand Est;Bas-Rhin;48.571265, 7.767760376;;17.740251;16.624679999999998;44;67482;Station d'épuration;67;2015-09-01;;Eurométropole de Strasbourg;R-GDS;Distribution;Biovalsan
2021;7304.23;Pleudihen-sur-Rance;200068989;Bretagne;Côtes-d'Armor;48.509515077, -1.94126291;;7.3042300000000004;7.95482;53;22197;Agricole autonome;22;2019-01-16;;CA Dinan Agglomération;Pleudihen Distribution gaz;Distribution;Gaec du Tertre Goutte
2020;19037.164;Willgottheim;200034635;Grand Est;Bas-Rhin;48.673674108, 7.515639704;;19.037164;17.875999999999998;44;67532;Agricole territorial;67;2016-05-01;;CC du Kochersberg;R-GDS;Distribution;SAS Méthachrist
