Code_commune_INSEE,Code_postal,Coordonnees_gps
3140,3100,"46.309148396, 2.601114158"
3159,3600,"46.307412729, 2.770704472"
3167,3420,"46.218775199, 2.554989231"
3170,3210,"46.51357558, 3.101870093"
3182,3800,"46.115275238, 3.24845855"
3183,3240,"46.405665047, 3.053956003"
3198,3320,"46.744818324, 2.978845459"
3206,3420,"46.189832165, 2.561282437"
3209,3800,"46.075888177, 3.226948066"
3214,3240,"46.444307501, 3.036674783"
3222,3190,"46.544938374, 2.739456083"
3223,3120,"46.166487253, 3.578648418"
3233,3310,"46.263579524, 2.603199818"
3235,3150,"46.263699055, 3.511982278"
3238,3440,"46.486942001, 3.015409147"
3239,3130,"46.408901796, 3.937412669"
3240,3220,"46.410677105, 3.687643625"
3250,42620,"46.195224124, 3.770570857"
3258,3110,"46.192737108, 3.383402111"
3261,3420,"46.243147615, 2.573218801"
3262,3410,"46.388314616, 2.609223634"
3265,3470,"46.462889843, 3.751376583"
3269,3430,"46.434413053, 2.799045731"
3272,3120,"46.280001638, 3.589887448"
3287,3240,"46.399289283, 3.165455142"
3296,3360,"46.715547207, 2.820435045"
3297,3190,"46.540147686, 2.61657844"
3299,3220,"46.31746107, 3.63768231"
3301,3190,"46.421468926, 2.574684189"
3303,3190,"46.472608626, 2.766778956"
4012,4110,"43.933926212, 5.676594668"
4020,4140,"44.272819381, 6.253258479"
4021,4380,"44.100626374, 6.098443052"
4023,4250,"44.325166073, 6.172891445"
4024,4420,"44.218434265, 6.371540779"
4032,4240,"43.993121023, 6.6990172"
4033,4340,"44.441498992, 6.31859203"
4035,4210,"43.885919144, 6.033181131"
4036,4420,"44.168338068, 6.303394881"
4039,4120,"43.844877027, 6.490135474"
4040,4380,"44.202119682, 6.131282474"
4041,4700,"43.919932559, 5.979391537"
4055,4330,"43.991870662, 6.317152817"
4069,4120,"43.869864581, 6.573449828"
4073,4400,"44.36400889, 6.710772982"
4075,4200,"44.195957297, 6.022176931"
4081,4800,"43.743694432, 5.988997369"
4087,4230,"44.006155656, 5.794169899"
4094,4800,"43.767601156, 5.865168462"
4101,4230,"44.084634181, 5.726598548"
4113,4420,"44.128099152, 6.279927689"
4116,4190,"43.994664854, 5.966128194"
4120,4530,"44.444385669, 6.849917188"
4126,4140,"44.401564953, 6.340707691"
4137,4250,"44.288927751, 6.008602523"
4139,4200,"44.169160423, 5.810131124"
4144,4120,"43.796767293, 6.326899957"
4144,4120,"43.796767293, 6.326899957"
4148,4120,"43.817144389, 6.643601794"
4155,4420,"44.213354213, 6.463979188"
4170,6260,"43.912488847, 6.880350571"
4171,4120,"43.796622967, 6.392796619"
4172,4500,"43.821581012, 6.148833216"
4177,4380,"44.194662453, 6.174168163"
4183,4170,"43.909716409, 6.545852698"
4188,4300,"43.900936378, 5.801209575"
4192,4870,"43.909537513, 5.720175386"
4203,4140,"44.372179233, 6.293900207"
4216,4200,"44.329566985, 5.924564419"
4226,4400,"44.319111881, 6.670341203"
4226,4400,"44.319111881, 6.670341203"
4227,4110,"43.94663916, 5.635067193"
4230,4210,"43.838188342, 5.942121424"
4235,4140,"44.267823479, 6.343515773"
4236,4170,"43.915155907, 6.604225196"
4240,4370,"44.198029594, 6.569234846"
4242,4180,"43.895601657, 5.857633726"
4244,4290,"44.123767029, 6.034302161"
5001,5460,"44.774752599, 6.967890004"
5012,5200,"44.504348928, 6.50566626"
5013,5110,"44.430111214, 5.905139193"
5014,5300,"44.264869824, 5.728391419"
5021,5700,"44.405901165, 5.753709761"
5024,5150,"44.459637603, 5.521814225"
5024,5150,"44.459637603, 5.521814225"
5037,5000,"44.484012446, 6.051588244"
5045,5200,"44.4962384, 6.461900221"
5051,5700,"44.321081872, 5.643692946"
5053,5300,"44.365830958, 5.782197824"
5056,5260,"44.629750934, 6.141418976"
5070,5300,"44.334172613, 5.816091277"
5071,5110,"44.437077507, 5.973296701"
5090,5500,"44.740818336, 6.128836095"
5102,5700,"44.478428598, 5.648731725"
5106,5230,"44.543444774, 6.336974173"
5107,5100,"44.891257564, 6.566326407"
5110,5290,"44.814289823, 6.464203869"
5113,5000,"44.546852116, 6.131984678"
5115,5190,"44.471613471, 6.159540038"
5116,5600,"44.681335205, 6.564118714"
5117,5150,"44.410499973, 5.55778133"
5119,5600,"44.624541358, 6.623016283"
5130,5160,"44.557252776, 6.355089557"
5140,5130,"44.507922275, 6.163314205"
5147,5500,"44.668325095, 6.12919955"
5163,5160,"44.48587715, 6.323359626"
5166,5700,"44.421324064, 5.71540376"
5169,5150,"44.36226465, 5.573277674"
5170,5130,"44.45907133, 6.044501043"
5180,5120,"44.821555493, 6.537145563"
6004,6600,"43.587761948, 7.105220285"
6014,6390,"43.830449744, 7.284290916"
6019,6440,"43.79408163, 7.360684718"
6023,6540,"43.940231076, 7.503686305"
6025,6510,"43.815169637, 7.15970157"
6027,6800,"43.672201175, 7.152404366"
6037,6460,"43.737294101, 6.90330973"
6044,6480,"43.686966601, 7.097388889"
6050,6140,"43.791274853, 7.035702338"
6055,6670,"43.893637625, 7.279665671"
6057,6440,"43.834043043, 7.366037805"
6066,6830,"43.848176433, 7.161118516"
6071,6470,"44.088264348, 6.875178465"
6074,6450,"43.970853507, 7.304565835"
6081,6910,"43.83679644, 6.858400301"
6083,6500,"43.791862947, 7.493340539"
6085,6250,"43.596083559, 7.001095284"
6086,6380,"43.953755834, 7.413778164"
6088,6000,"43.712363989, 7.237937874"
6088,6100,"43.712363989, 7.237937874"
6093,6260,"43.925215318, 6.94190649"
6101,6260,"43.993354962, 6.974785142"
6103,6450,"44.027164485, 7.292560994"
6105,6330,"43.67427715, 7.052968624"
6108,6550,"43.585405273, 6.94985328"
6112,6650,"43.679598067, 7.010240499"
6118,6530,"43.659765012, 6.803003486"
6127,6450,"44.102178266, 7.302778686"
6138,6590,"43.498528479, 6.92979396"
6141,6830,"43.891965757, 7.108033544"
6147,6690,"43.786501099, 7.272671335"
6150,6320,"43.745399443, 7.397714435"
7001,7160,"44.888443768, 4.392010929"
7002,7200,"44.597864208, 4.332925449"
7003,7530,"44.719957976, 4.330312142"
7014,7410,"45.040518879, 4.628651947"
7019,7200,"44.610241548, 4.395935019"
7020,7400,"44.585295618, 4.633292283"
7024,7460,"44.36127618, 4.151088119"
7031,7460,"44.382858497, 4.207624181"
7031,7460,"44.382858497, 4.207624181"
7049,7160,"44.829599551, 4.298592618"
7052,7440,"44.955777511, 4.752439676"
7059,7130,"44.986879772, 4.838348977"
7063,7300,"45.130463521, 4.740743586"
7066,7210,"44.710034481, 4.669963002"
7067,7430,"45.264656091, 4.745795228"
7068,7270,"45.011317498, 4.715103731"
7069,7410,"45.059134338, 4.699261751"
7076,7350,"44.656490332, 4.756095925"
7079,7570,"44.992407529, 4.500888591"
7084,7370,"45.160476332, 4.74827962"
7090,7000,"44.750664359, 4.65997562"
7094,7800,"44.863202966, 4.745000834"
7098,7000,"44.729580239, 4.454810316"
7101,7120,"44.393197817, 4.28640669"
7103,7310,"44.977820295, 4.34516355"
7123,7310,"44.954502976, 4.31885878"
7126,7150,"44.444868859, 4.431666974"
7127,7380,"44.652277007, 4.314627031"
7129,7270,"44.982403424, 4.590643351"
7131,7200,"44.537023105, 4.384105519"
7137,7660,"44.741731553, 3.951667311"
7138,7170,"44.58200991, 4.448347688"
7140,7610,"45.096780946, 4.778442564"
7142,7660,"44.734358745, 3.894966336"
7145,7170,"44.619277692, 4.466052275"
7147,7140,"44.47842111, 4.050331709"
7148,7140,"44.349800615, 4.072715613"
7152,7300,"45.028897315, 4.81870465"
7160,7690,"45.200204987, 4.50445631"
7172,7340,"45.285657211, 4.727959825"
7177,7300,"45.015560639, 4.780380125"
7179,7000,"44.739406927, 4.50434883"
7183,7120,"44.472944949, 4.375930314"
7188,7290,"45.192333469, 4.694548939"
7192,7320,"45.085473639, 4.458971898"
