"Code Commune", "Libellé commune", "Degré de Densité", "Population municipale 2018"
01398, Savigneux, 3, 1421
01399, Ségny, 2, 2107
01400, Seillonnaz, 4, 139
01401, Sergy, 2, 2167
01402, Sermoyer, 3, 652
01403, Serrières-de-Briord, 3, 1295
01404, Serrières-sur-Ain, 4, 135
01405, Servas, 3, 1280
01406, Servignat, 3, 174
01407, Seyssel, 3, 1002
01408, Simandre-sur-Suran, 3, 661
01410, Sonthonnax-la-Montagne, 4, 300
01411, Souclin, 4, 273
01412, Sulignat, 3, 595
01415, Talissieu, 3, 499
01416, Tenay, 3, 1014
01418, Thil, 3, 1087
01419, Thoiry, 2, 6021
01420, Thoissey, 3, 1690
01421, Torcieu, 3, 729
01422, Tossiat, 3, 1355
01423, Toussieux, 2, 1124
01424, Tramoyes, 3, 1776
01425, La Tranclière, 4, 288
01426, Val-Revermont, 3, 2538
01427, Trévoux, 2, 6920
01428, Valeins, 4, 126
01429, Vandeins, 3, 707
01430, Varambon, 3, 619
01431, Vaux-en-Bugey, 2, 1227
01432, Verjon, 3, 323
01433, Vernoux, 4, 313
01434, Versailleux, 3, 472
01435, Versonnex, 2, 2157
01436, Vesancy, 2, 481
01437, Vescours, 4, 223
01439, Vésines, 4, 99
01441, Vieu-d'Izenave, 3, 734
01443, Villars-les-Dombes, 3, 4978
01444, Villebois, 3, 1196
01445, Villemotier, 3, 615
01446, Villeneuve, 3, 1548
01447, Villereversure, 3, 1342
01448, Villes, 3, 389
01449, Villette-sur-Ain, 3, 759
01450, Villieu-Loyes-Mollon, 2, 3717
01451, Viriat, 3, 6595
01452, Virieu-le-Grand, 3, 1132
01453, Arvière-en-Valromey, 4, 710
01454, Virignin, 3, 1112
01456, Vongnes, 3, 71
01457, Vonnas, 3, 3181
02001, Abbécourt, 2, 502
02002, Achery, 3, 610
02003, Acy, 3, 1021
02004, Agnicourt-et-Séchelles, 4, 182
02005, Aguilcourt, 3, 380
02006, Aisonville-et-Bernoville, 3, 262
02007, Aizelles, 4, 122
02008, Aizy-Jouy, 4, 294
02009, Alaincourt, 3, 534
02010, Allemant, 4, 173
02011, Ambleny, 3, 1138
02012, Ambrief, 4, 71
02013, Amifontaine, 3, 386
02014, Amigny-Rouy, 3, 729
02015, Ancienville, 4, 72
02016, Andelain, 3, 216
02017, Anguilcourt-le-Sart, 3, 323
02018, Anizy-le-Grand, 3, 2574
02019, Annois, 3, 362
02020, Any-Martin-Rieux, 3, 455
